contractSymbol,close,date
AAPL250502C00170000,18.450000762939453,2025-04-07 00:00:00-04:00
AAPL250502C00175000,15.550000190734863,2025-04-07 00:00:00-04:00
AAPL250502C00180000,26.100000381469727,2025-04-03 00:00:00-04:00
AAPL250502C00185000,40.20000076293945,2025-04-02 00:00:00-04:00
AAPL250502C00190000,35.04999923706055,2025-04-02 00:00:00-04:00
AAPL250502C00195000,31.0,2025-04-02 00:00:00-04:00
AAPL250502C00200000,26.530000686645508,2025-04-02 00:00:00-04:00
AAPL250502C00205000,21.799999237060547,2025-04-02 00:00:00-04:00
AAPL250502C00210000,17.299999237060547,2025-04-02 00:00:00-04:00
AAPL250502C00215000,14.0,2025-04-02 00:00:00-04:00
AAPL250502C00220000,10.699999809265137,2025-04-02 00:00:00-04:00
AAPL250502C00225000,7.599999904632568,2025-04-02 00:00:00-04:00
AAPL250502C00230000,5.300000190734863,2025-04-02 00:00:00-04:00
AAPL250502C00235000,3.3499999046325684,2025-04-02 00:00:00-04:00
AAPL250502C00240000,1.9700000286102295,2025-04-02 00:00:00-04:00
